seed,elapsed_seconds
0,0.13697147369384766
1,0.08288955688476562
2,0.08188915252685547
3,0.07316398620605469
4,0.07442951202392578
5,0.07443618774414062
6,0.07750415802001953
7,0.0804140567779541
8,0.10080242156982422
9,0.07961845397949219
10,0.08626055717468262
11,0.09437417984008789
12,0.08861732482910156
13,0.06657624244689941
14,0.07534980773925781
15,0.07557320594787598
16,0.07820248603820801
17,0.08385634422302246
18,0.08472824096679688
19,0.09423422813415527
20,0.09182906150817871
21,0.08158087730407715
22,0.06842517852783203
23,0.08019256591796875
24,0.07705807685852051
25,0.06904888153076172
26,0.06658315658569336
27,0.07341742515563965
28,0.07397222518920898
29,0.07645630836486816
30,0.08069872856140137
31,0.07910513877868652
32,0.0733480453491211
33,0.07262706756591797
34,0.07653069496154785
35,0.06779742240905762
36,0.07659459114074707
37,0.0743262767791748
38,0.0737152099609375
39,0.07476449012756348
40,0.07015061378479004
41,0.08906173706054688
42,0.06825041770935059
43,0.0671243667602539
44,0.07788348197937012
45,0.06933283805847168
46,0.0748448371887207
47,0.07553458213806152
48,0.06643009185791016
49,0.0872344970703125
50,0.08102726936340332
51,0.07818126678466797
52,0.08202624320983887
53,0.07914257049560547
54,0.07502603530883789
55,0.07375192642211914
56,0.0687716007232666
57,0.07064986228942871
58,0.08448481559753418
59,0.07838296890258789
60,0.1067819595336914
61,0.07484769821166992
62,0.07451891899108887
63,0.07282876968383789
64,0.06684446334838867
65,0.07726502418518066
66,0.08138227462768555
67,0.07430553436279297
68,0.07458662986755371
69,0.0802760124206543
70,0.0703284740447998
71,0.07811331748962402
72,0.0820930004119873
73,0.07574915885925293
74,0.07475066184997559
75,0.08882474899291992
76,0.08195829391479492
77,0.07534933090209961
78,0.07003092765808105
79,0.08008456230163574
80,0.06942558288574219
81,0.0803074836730957
82,0.07152986526489258
83,0.06560850143432617
84,0.08028697967529297
85,0.10117030143737793
86,0.08076763153076172
87,0.07281374931335449
88,0.07087445259094238
89,0.08927750587463379
90,0.07601404190063477
91,0.08719205856323242
92,0.0722801685333252
93,0.06629323959350586
94,0.07501029968261719
95,0.07300662994384766
96,0.06587338447570801
97,0.0633094310760498
98,0.08203268051147461
99,0.07017731666564941
100,0.07539582252502441
101,0.0717473030090332
102,0.0712423324584961
103,0.07158493995666504
104,0.08136820793151855
105,0.08371949195861816
106,0.07992863655090332
107,0.06410765647888184
108,0.07069206237792969
109,0.07967162132263184
110,0.11331391334533691
111,0.07502102851867676
112,0.06633353233337402
113,0.07896065711975098
114,0.0754234790802002
115,0.0744316577911377
116,0.07829666137695312
117,0.07185006141662598
118,0.0738985538482666
119,0.06849932670593262
120,0.0922389030456543
121,0.08584475517272949
122,0.07940363883972168
123,0.08913350105285645
124,0.09464836120605469
125,0.07477569580078125
126,0.07532095909118652
127,0.09376406669616699
128,0.07787227630615234
129,0.06996774673461914
130,0.07610487937927246
131,0.08645963668823242
132,0.08501052856445312
133,0.09629988670349121
134,0.08362197875976562
135,0.08670401573181152
136,0.08028054237365723
137,0.07419204711914062
138,0.07604598999023438
139,0.09215307235717773
140,0.0839087963104248
141,0.0886228084564209
142,0.08463716506958008
143,0.07029271125793457
144,0.08154916763305664
145,0.07473158836364746
146,0.07786822319030762
147,0.0829000473022461
148,0.07661008834838867
149,0.07430195808410645
150,0.09106802940368652
151,0.08098793029785156
152,0.07951974868774414
153,0.11546826362609863
154,0.07880783081054688
155,0.06834816932678223
156,0.07402825355529785
157,0.08598065376281738
158,0.07167267799377441
159,0.07603168487548828
160,0.07546520233154297
161,0.07910466194152832
162,0.06742572784423828
163,0.08165836334228516
164,0.08240270614624023
165,0.06327509880065918
166,0.07929563522338867
167,0.0748295783996582
168,0.07430624961853027
169,0.06387209892272949
170,0.07973265647888184
171,0.08305001258850098
