seed,episode,avg_abs_td
0,0,25.75
0,1,11.944444444444445
0,2,25.375
0,3,50.0
0,4,20.625
0,5,14.139423076923077
0,6,8.737723214285714
0,7,13.0673828125
0,8,8.899458451704545
0,9,7.4269020774147725
0,10,0.7234375
0,11,15.135495867047991
0,12,8.288166926457333
0,13,19.047927856445312
0,14,0.5362955729166666
0,15,18.45844289991591
0,16,10.138652086257935
0,17,29.675
0,18,6.586242607661656
0,19,5.888550945303657
0,20,14.070199338926209
0,21,0.25108468253165483
0,22,3.821999900167187
0,23,11.482451719852785
0,24,16.836455246200785
0,25,8.645900011241723
0,26,0.4252088517532684
0,27,0.5166813466607386
0,28,21.554603789074463
0,29,16.68316429978424
0,30,17.079410888571147
0,31,2.587156350134895
0,32,0.2494494226079301
0,33,0.1763025440578271
0,34,15.42859403341536
0,35,0.2005365747986616
0,36,2.054056781578595
0,37,36.374908447265625
0,38,25.05561525178408
0,39,10.047720923235493
0,40,2.7071410036685584
0,41,12.301410954895806
0,42,73.275390625
0,43,5.722374335882808
0,44,0.171291609157575
0,45,0.16188108832703424
0,46,0.018692039543661387
0,47,1.7667872140892977
0,48,0.007259620554054417
0,49,8.893899045810057
0,50,0.028492092374143598
0,51,72.490234375
0,52,0.015084518040063166
0,53,0.0019674459428804525
0,54,0.20042845267779896
0,55,0.0010562487183959728
0,56,6.498469244374428
0,57,0.07731420494402849
0,58,0.10958976533526066
0,59,5.116409828421118
0,60,0.00011393316417581308
0,61,0.180492764452911
0,62,5.719379338605298e-05
0,63,10.625150830775986
0,64,2.4805985913293565e-05
0,65,20.0045166015625
0,66,30.427113623495234
0,67,15.213559997452627
0,68,5.861731615504813e-06
0,69,3.5703833704362844e-06
0,70,0.12016156997526511
0,71,1.3987720327198379e-06
0,72,9.13806234815292
0,73,4.946652813290579e-07
0,74,7.838934719234363
0,75,4.163406789691034
0,76,4.3559647432541775
0,77,6.623043128743215e-08
0,78,4.0530184541864855e-08
0,79,2.489583065627225e-08
0,80,0.12899847791678756
0,81,9.279556012486978e-09
0,82,16.238265684641767
0,83,0.027959709052107762
0,84,1.941271439894384e-09
0,85,12.12277984786498
0,86,6.358235419649342e-10
0,87,80.889404296875
0,88,0.027344206861805748
0,89,2.0083372002469938e-10
0,90,6.061389923263464
0,91,3.8076801300982686
0,92,0.029651918746545953
0,93,0.0016139660737666578
0,94,1.0953016271741944e-11
0,95,7.386612430695565
0,96,0.003917137455761249
0,97,3.5365044226409736e-12
0,98,6.754447527924714
0,99,0.0600801384106955
0,100,6.957397620984315e-13
0,101,0.08095786908876816
0,102,2.1926904736346842e-13
0,103,1.251591423094093e-13
0,104,0.016276569818845336
0,105,4.144832625267251e-14
0,106,0.014825959388245888
0,107,0.02120535714286907
0,108,7.993605777301127e-15
0,109,4.6629367034256575e-15
0,110,0.04047893454426329
0,111,1.4802973661668755e-15
0,112,8.881784197001252e-16
0,113,4.440892098500626e-16
0,114,2.9605947323337506e-16
0,115,1.4802973661668753e-16
0,116,0.0
0,117,0.0
0,118,0.0
0,119,0.0
1,0,17.5
1,1,50.5
1,2,6.361111111111111
1,3,99.5
1,4,6.875
1,5,7.848214285714286
1,6,0.8776041666666666
1,7,8.950846354166666
1,8,8.878011067708334
1,9,15.7
1,10,25.425
1,11,8.481196962553879
1,12,0.5623881022135416
1,13,3.4369371202256946
1,14,6.066184043884277
1,15,55.65625
1,16,2.0420204965691817
1,17,15.700892857142858
1,18,48.2734375
1,19,5.0610606120182915
1,20,10.109496073289352
1,21,73.01171875
1,22,5.7217397292455034
1,23,0.3040384758602489
1,24,5.690323951343696
1,25,10.688241662457585
1,26,38.364095052083336
1,27,0.16288763905564943
1,28,0.3518480414317714
1,29,37.4438075337559
1,30,0.6962952957488596
1,31,90.360107421875
1,32,10.954893786526684
1,33,4.154411015896282
1,34,0.07195180609899883
1,35,0.29612101859917556
1,36,0.45981851673479046
1,37,0.25698635559820104
1,38,0.33707433890867833
1,39,32.23108419367903
1,40,26.96014250678157
1,41,0.18729427158416456
1,42,12.852468762748735
1,43,12.247726367225653
1,44,32.366025144166166
1,45,23.060298919677734
1,46,3.0942460983384876
1,47,10.35568623790921
1,48,24.677403981104153
1,49,16.4669395125002
1,50,5.258766633865889
1,51,9.714815569914006
1,52,8.888537981403937
1,53,15.614472592073804
1,54,4.5754957907683504
1,55,0.0015654788419476873
1,56,0.0011548586927439726
1,57,0.0008845025734783482
1,58,21.05414207364608
1,59,0.17157086129817697
1,60,5.262400717727679
1,61,3.368583124557338
1,62,0.00012394314745615512
1,63,0.04936459569170504
1,64,3.473761953749411
1,65,11.998842300916786
1,66,0.028133158301024506
1,67,0.09892663297359279
1,68,0.03683725392994042
1,69,5.063295837567002e-06
1,70,2.9965845148209915
1,71,1.886876950981294e-06
1,72,0.01841614558492845
1,73,0.031020388185710956
1,74,0.004830490653301275
1,75,0.04626753704781961
1,76,1.4513567044479222e-07
1,77,0.05411968690958113
1,78,2.8416938728052326e-08
1,79,0.045141457732363
1,80,0.023133698151436177
1,81,0.010264742281549444
1,82,3.6400901552250766e-09
1,83,0.009207591080381081
1,84,56.01655578613281
1,85,0.013003982349238465
1,86,6.812085340257568e-10
1,87,3.9113127551596943e-10
1,88,2.242122413657436e-10
1,89,1.2817724659441865e-10
1,90,12.27083333340636
1,91,0.004603794687741398
1,92,0.027059834297150878
1,93,8.078019734606793e-12
1,94,0.014074930953560636
1,95,0.014440565216030626
1,96,7.548828133383151
1,97,0.027895604718234657
1,98,5.470438916669688e-13
1,99,3.09826238738727e-13
1,100,1.7378691078799116e-13
1,101,0.013529917145911063
1,102,30.063480155806857
1,103,0.007044215899992093
1,104,1.4978201793728843
1,105,1.0584126168093158e-14
1,106,5.921189464667502e-15
1,107,3.2566542055671257e-15
1,108,8.37639386691842
1,109,0.005853348848551677
1,110,2.9605947323337506e-16
1,111,1.4802973661668753e-16
1,112,0.0
1,113,15.653053283691406
1,114,0.0
1,115,0.0
1,116,0.0
1,117,23.088409435003996
1,118,0.0
1,119,0.015509940316562165
2,0,17.5
2,1,99.5
2,2,8.615384615384615
2,3,13.234375
2,4,20.5
2,5,9.939453125
2,6,0.869921875
2,7,41.875
2,8,25.2841796875
2,9,10.6927734375
2,10,3.166552734375
2,11,3.0309281782670454
2,12,0.7386506733141447
2,13,17.77062072753906
2,14,8.18011703491211
2,15,27.083839416503906
2,16,17.578125
2,17,12.141871525691105
2,18,6.851193189620972
2,19,11.704944652059805
2,20,16.0908203125
2,21,11.470854692988926
2,22,0.33050432056188583
2,23,4.959307820846637
2,24,7.564670138888889
2,25,2.1454476839862764
2,26,0.3330101100727916
2,27,0.6986492193089082
2,28,93.4521484375
2,29,6.487914601961772
2,30,21.74931583162397
2,31,7.305061905711357
2,32,71.335693359375
2,33,0.342974368418153
2,34,0.041425826522754505
2,35,0.031795615267280176
2,36,0.7755548671817191
2,37,3.6604695190790153
2,38,9.089842020994912
2,39,9.323376098670906
2,40,0.00470667726085594
2,41,5.574131084870225
2,42,0.17912732253122007
2,43,0.014228695682866999
2,44,0.05532986513044236
2,45,25.36817114339004
2,46,14.025066824820449
2,47,0.007758863918063749
2,48,0.5439574143194249
2,49,0.15831408130308508
2,50,0.02296310432522397
2,51,17.262541858574533
2,52,4.442079287243778
2,53,1.3624120374211186
2,54,0.12576319164630506
2,55,9.283858474833243
2,56,0.01383308532848303
2,57,4.656252656184799
2,58,0.02737621530283163
2,59,0.003352544388811385
2,60,7.099105019392482e-07
2,61,0.01385186790647953
2,62,3.280453945523713e-07
2,63,2.166173806254316e-07
2,64,1.4071278942040522e-07
2,65,8.991396205360047e-08
2,66,19.09230111758279
2,67,3.516205045646833e-08
2,68,2.160028141536448e-08
2,69,4.470990813929415
2,70,3.3124190007102903
2,71,4.507306565019557e-09
2,72,0.00501221362580867
2,73,0.03531493557005851
2,74,5.826709855346243e-10
2,75,0.35511884927996196
2,76,2.2498018263187683e-10
2,77,0.024911593679650457
2,78,0.11280558638869981
2,79,4.641927083396075
2,80,4.185892373461305e-11
2,81,2.7012318308076526e-11
2,82,35.6678466796875
2,83,0.004930129039368502
2,84,0.09150256493009015
2,85,47.300478000677366
2,86,87.52835083007812
2,87,3.401427287978246e-12
2,88,0.002157125719866334
2,89,0.006266919283670045
2,90,0.0031731556899309388
2,91,56.889617919921875
2,92,4.1007937786237864e-13
2,93,2.324807013565078e-13
2,94,1.3204252506208528e-13
2,95,7.505107646466058e-14
2,96,4.263256414560601e-14
2,97,2.412884706852007e-14
2,98,6.060734159701194
2,99,7.771561172376096e-15
2,100,2.320963541666671
2,101,2.3684757858670005e-15
2,102,1.3322676295501878e-15
2,103,7.401486830834377e-16
2,104,2.9605947323337506e-16
2,105,1.4802973661668753e-16
2,106,5.288588222199952
2,107,0.0
2,108,0.0
2,109,0.00035320899260352486
2,110,2.8639189095289956
2,111,1.6513671875092486
2,112,11.629638671875
2,113,0.0
2,114,0.0
2,115,0.0
2,116,0.0
2,117,0.005704537735838677
2,118,0.0028522688679193386
2,119,0.0
3,0,8.615384615384615
3,1,8.317307692307692
3,2,7.504166666666666
3,3,8.893229166666666
3,4,99.5
3,5,12.571134868421053
3,6,31.28125
3,7,10.4650390625
3,8,16.986490885416668
3,9,15.213155110677084
3,10,20.013392857142858
3,11,4.4413632993344905
3,12,0.5990330089222301
3,13,15.896710395812988
3,14,29.413036982218426
3,15,16.920241355895996
3,16,21.406125664711
3,17,12.896905809640884
3,18,21.64524021744728
3,19,0.4915013773874803
3,20,22.575892857142858
3,21,13.320934091295515
3,22,17.802375360392034
3,23,0.3432852149541889
3,24,0.5159382163879594
3,25,0.2923215414242198
3,26,6.3144212808498805
3,27,0.29594580829143524
3,28,7.355145775954172
3,29,4.247150418214409
3,30,5.355133313113038
3,31,24.6043881645719
3,32,5.787297399835249
3,33,7.309630456949914
3,34,0.3678907073112043
3,35,0.41702489727633335
3,36,8.310194739657087
3,37,63.2265625
3,38,2.975587659236529
3,39,8.37997549369142
3,40,8.090700749084991
3,41,0.09094883826397131
3,42,0.24548919343588582
3,43,84.3671875
3,44,5.075289113373725
3,45,0.16639290043503305
3,46,4.683793003090214
3,47,8.415304650924611
3,48,0.027947081837100225
