episode,return,avg_td
1,-101.0,53.0
2,-105.0,18.373562607141757
3,-104.0,23.867895295382393
4,-102.0,36.77423791341302
5,-135.0,6.261722998461
6,-113.0,14.90868805054831
7,-103.0,21.542993545988836
8,-104.0,16.4616889537916
9,-109.0,13.30253464047334
10,-107.0,25.263510719393505
11,-114.0,15.840717962677475
12,-112.0,12.702163804327569
13,-104.0,17.105843128715033
14,-107.0,15.927916697895954
15,-102.0,47.0111073681505
16,-25.0,6.260886989157791
17,-14.0,9.152987676527994
18,-105.0,15.715225454901622
19,-113.0,11.686484203611576
20,-114.0,12.39940008574369
21,-104.0,22.893330562470133
22,-7.0,3.3663006414714545
23,-112.0,13.532614031122076
24,-117.0,12.275186917631537
25,-111.0,15.449814028163829
26,-16.0,5.73389649941975
27,-7.0,4.189316652341056
28,-105.0,17.820875841605904
29,-105.0,22.75924376095914
30,-12.0,5.530970343640681
31,-101.0,37.62639415749246
32,-106.0,11.068486677522458
33,-20.0,6.046253151713132
34,-15.0,6.997230650812986
35,-7.0,6.694861142582708
36,-100.0,71.59761530159398
37,-104.0,18.367584310452486
38,-106.0,27.724816262484172
39,-106.0,12.96647676057123
40,-114.0,13.56093541675128
41,-106.0,16.45055567266126
42,-7.0,4.051410144124943
43,-107.0,8.897966231106276
44,-118.0,12.988239945599195
45,-108.0,10.856399835864377
46,-10.0,8.241747019345443
47,-120.0,9.692931459123866
48,-112.0,10.215540012557627
49,-108.0,13.108874163603279
50,-102.0,33.615809338115454
51,-102.0,31.4361234807342
52,-109.0,11.948997392614789
53,-22.0,7.953440855780821
54,-9.0,4.210678543819671
55,-100.0,67.2981477808795
56,-36.0,7.668562916572264
57,-9.0,3.7823867198555465
58,-115.0,8.36188953011712
59,-102.0,24.047719378038874
60,-104.0,16.092682872481443
61,-114.0,11.596927065831498
62,-20.0,3.755079305329015
63,-11.0,5.133017428569042
64,-19.0,5.848825063179459
65,-108.0,14.283672420390051
66,-101.0,35.42309378359865
67,-104.0,15.976286361869324
68,-113.0,14.368180780946643
69,-103.0,29.711893673960024
70,-102.0,38.21055392639257
71,-109.0,9.981956952910329
72,-9.0,3.9445214775474344
73,-115.0,9.398603094833076
74,-16.0,6.616863699030955
75,-15.0,5.721510247542927
76,-113.0,13.00908410936483
77,-113.0,10.372188944199268
78,-20.0,4.055694056599907
79,-109.0,11.921630605909401
80,-106.0,12.079476872262296
81,-14.0,7.4163008622912585
82,-109.0,9.257758531477643
83,-116.0,11.000274516593512
84,-110.0,14.062189913547542
85,-103.0,18.914804479481724
