episode,return,avg_td
1,-101.0,53.0
2,-105.0,18.333333333333332
3,-104.0,21.7
4,-100.0,104.33333333333333
5,-131.0,4.14453125
6,-110.0,10.314935064935066
7,-101.0,39.625
8,-105.0,18.119444444444444
9,-110.0,14.990901575276576
10,-9.0,11.562962962962963
11,-12.0,5.571113040123457
12,-112.0,8.87688979616063
13,-102.0,23.764399954102334
14,-103.0,26.58074970024189
15,-107.0,18.04410295020786
16,-126.0,8.204908563623556
17,-110.0,13.258982683982682
18,-101.0,35.22432982778324
19,-111.0,13.134523809523811
20,-113.0,8.298720418015197
21,-102.0,26.620854284315225
22,-112.0,10.266365710625033
23,-113.0,13.215775835297856
24,-117.0,7.957885167594591
25,-21.0,1.0664697501834337
26,-109.0,15.104064627747107
27,-112.0,14.796744120373814
28,-8.0,1.0590052596647235
29,-109.0,9.052502298566155
30,-104.0,28.932855103413658
31,-102.0,23.62609823326524
32,-109.0,6.799638722158415
33,-9.0,0.9829880342648853
34,-131.0,8.719807944778317
35,-14.0,0.978990972468791
36,-107.0,11.67468222341917
37,-7.0,0.9393112885134121
38,-109.0,17.226143714805374
39,-107.0,11.1936048381016
40,-117.0,8.627489993478749
41,-101.0,55.72426885284028
42,-114.0,7.500971149606236
43,-107.0,6.055144009502444
44,-116.0,5.616130734063366
45,-110.0,7.484519124078374
46,-117.0,9.366356350634359
47,-124.0,6.030087978161561
48,-106.0,19.062762673957405
49,-104.0,7.689602733501038
50,-103.0,24.436429398148146
51,-103.0,22.867045860465414
52,-12.0,0.9563033574754707
53,-18.0,2.4727887177338825
54,-105.0,16.15603044178844
55,-104.0,12.268247004344119
56,-148.0,6.220976815680546
57,-114.0,6.314076023737597
58,-118.0,7.643053497486378
59,-104.0,15.576033148846658
60,-100.0,84.82187208216621
61,-116.0,10.021480992604745
62,-103.0,26.275689811136274
63,-102.0,28.73272673094101
64,-156.0,4.255543874508828
65,-114.0,8.653110144919882
66,-102.0,28.709177766305334
67,-103.0,14.80052857110963
