episode,return,avg_td
1,-101.0,105.0
2,-106.0,105.0
3,-100.0,104.5
4,-102.0,105.0
5,-126.0,69.66666666666666
6,-126.0,78.125
7,-102.0,62.5
8,-18.0,6.0
9,-110.0,52.5
10,-107.0,105.0
11,-26.0,6.0
12,-124.0,62.5
13,-111.0,52.25
14,-103.0,104.25
15,-102.0,104.16666666666667
16,-118.0,104.5
17,-109.0,105.0
18,-101.0,52.083333333333336
19,-114.0,104.5
20,-120.0,104.5
21,-107.0,104.25
22,-110.0,69.66666666666667
23,-110.0,78.25
24,-118.0,97.03333333333333
25,-113.0,104.5
26,-6.0,3.0
27,-131.0,103.71689814814815
28,-101.0,75.9928956914209
29,-108.0,104.33333333333333
30,-105.0,41.8
31,-108.0,80.86111111111111
32,-108.0,83.4
33,-111.0,69.66666666666667
34,-6.0,2.0
35,-130.0,104.5
36,-100.0,73.75859785276596
37,-103.0,83.3
38,-112.0,52.25
39,-102.0,67.03955026455026
40,-110.0,104.5
41,-109.0,64.2467970521542
42,-105.0,88.92261904761905
43,-100.0,72.90637711396863
44,-117.0,95.16111111111111
45,-103.0,59.96367724867726
46,-23.0,1.5
47,-8.0,1.2
48,-104.0,104.16666666666667
49,-106.0,56.215947420634926
50,-103.0,77.80729166666666
51,-115.0,70.57191238509475
52,-104.0,69.41666666666667
53,-24.0,3.0
54,-36.0,1.0
55,-105.0,69.24403986997741
56,-14.0,0.8571428571428571
57,-103.0,86.20087448559671
58,-12.0,0.75
59,-106.0,79.30092592592592
60,-8.0,0.6666666666666667
61,-6.0,0.6
62,-12.0,0.5454545454545454
63,-6.0,0.5
64,-9.0,0.46153846153846156
65,-108.0,76.82870370370371
66,-101.0,55.06459680580052
67,-8.0,0.4285714285714286
68,-22.0,0.4
69,-12.0,0.375
70,-6.0,0.3529411764705882
71,-105.0,67.97222222222223
72,-7.0,0.33333333333333326
73,-104.0,52.16646013181102
74,-12.0,0.3157894736842105
75,-30.0,0.29999999999999993
76,-41.0,0.2857142857142857
77,-110.0,59.5
78,-106.0,52.0625
79,-7.0,0.2727272727272727
80,-102.0,48.93002969979453
81,-122.0,65.0625
82,-100.0,67.45079257157299
83,-110.0,51.983333333333334
84,-109.0,103.9
85,-110.0,54.0271311401972
86,-135.0,51.94916455788192
87,-104.0,50.02512142610852
88,-104.0,69.29166666666667
89,-109.0,43.4933597331507
90,-101.0,67.52620074513533
91,-110.0,65.41600697184984
92,-24.0,0.26086956521739124
93,-124.0,103.4825215114104
94,-111.0,65.67328179986347
95,-7.0,0.2499999999999999
96,-14.0,0.23999999999999988
97,-100.0,63.89832823770501
98,-31.0,0.23076923076923062
99,-10.0,0.2222222222222221
100,-101.0,50.62737853084606
101,-109.0,51.86765873015873
102,-8.0,0.2142857142857142
103,-19.0,0.2068965517241378
104,-10.0,0.19999999999999984
105,-106.0,62.584722222222226
106,-112.0,89.86066455307417
107,-108.0,55.43333333333334
108,-104.0,64.82643058974882
109,-105.0,63.3188391806849
110,-8.0,0.19354838709677402
111,-114.0,43.95976344759484
112,-18.0,0.18749999999999978
113,-104.0,79.69225173210705
114,-102.0,42.832484377957094
115,-114.0,75.20810185185185
116,-131.0,78.125
117,-107.0,63.13205331220169
118,-11.0,0.18181818181818166
119,-9.0,0.17647058823529393
120,-8.0,2.0
121,-103.0,56.32625
122,-61.0,0.17142857142857126
123,-107.0,74.30965563263106
124,-12.0,0.16666666666666652
125,-7.0,0.16216216216216206
126,-6.0,0.1578947368421052
127,-104.0,46.19444444444445
128,-10.0,0.15384615384615374
129,-9.0,0.1499999999999999
130,-112.0,51.205681818181816
131,-108.0,53.55517475422892
132,-10.0,1.5
133,-16.0,0.14634146341463405
134,-8.0,0.1428571428571428
135,-22.0,0.13953488372093015
136,-6.0,0.13636363636363624
137,-8.0,0.1333333333333332
138,-107.0,82.37227584031798
139,-9.0,0.13043478260869557
140,-8.0,0.12765957446808507
141,-108.0,79.46083550367203
142,-11.0,0.125
143,-9.0,0.12244897959183676
144,-6.0,0.12
145,-111.0,52.16666666666667
146,-103.0,72.55242625581982
147,-108.0,78.02083333333333
148,-118.0,82.94650430228208
149,-101.0,52.65272207767826
150,-118.0,50.311314933156204
151,-34.0,0.11760000000000004
152,-137.0,81.45320329646475
153,-105.0,46.95722727094579
154,-100.0,64.49951818804115
155,-10.0,0.11524800000000002
156,-119.0,44.02240056651168
157,-105.0,64.21517925179585
158,-133.0,62.5
159,-145.0,51.90277777777778
160,-8.0,0.11294304
